size,users,version,complete_time_ms,error_count
70kB v14.13,100,v14.13,13,0
70kB v15-rc9,100,v15-rc9,4,0
70kB v14.13,500,v14.13,53,0
70kB v15-rc9,500,v15-rc9,8,0
70kB v14.13,1000,v14.13,102,0
70kB v15-rc9,1000,v15-rc9,17,0
70kB v14.13,2000,v14.13,232,0
70kB v15-rc9,2000,v15-rc9,23,0
70kB v14.13,5000,v14.13,355,2008
70kB v15-rc9,5000,v15-rc9,46,0
70kB v15-rc9,10000,v15-rc9,96,25
20MB v14.13,100,v14.13,20,0
20MB v15-rc9,100,v15-rc9,4,0
20MB v14.13,500,v14.13,91,0
20MB v15-rc9,500,v15-rc9,10,0
20MB v14.13,1000,v14.13,163,0
20MB v15-rc9,1000,v15-rc9,12,0
20MB v14.13,2000,v14.13,378,3
20MB v15-rc9,2000,v15-rc9,18,0
20MB v14.13,5000,v14.13,567,2274
20MB v15-rc9,5000,v15-rc9,53,352
20MB v15-rc9,10000,v15-rc9,136,1337
38MB v14.13,100,v14.13,94,0
38MB v15-rc9,100,v15-rc9,5,0
38MB v14.13,500,v14.13,379,0
38MB v15-rc9,500,v15-rc9,11,112
38MB v14.13,1000,v14.13,787,2
38MB v15-rc9,1000,v15-rc9,17,91
38MB v14.13,2000,v14.13,1433,320
38MB v15-rc9,2000,v15-rc9,21,1704
38MB v15-rc9,5000,v15-rc9,197,3314
